gamma_result,ref,LP
3196.4526,3186.8406,536.6527
3186.821,3193.4453,536.60034
3185.0564,3194.885,536.62573
3181.2532,3198.7068,536.6617
3182.5903,3200.7537,536.6824
3177.8777,3194.4712,536.6794
3164.4011,3191.602,536.7408
3174.3862,3191.4546,536.86383
3184.9702,3190.649,536.8931
3187.647,3196.2502,536.8581
3200.0154,3199.007,536.85394
3211.353,3193.452,536.8469
3202.7493,3190.8557,536.83624
3186.572,3192.866,536.8934
3179.96,3194.129,537.01624
3174.4617,3201.253,537.14136
3179.7896,3204.7212,537.2657
3191.1943,3192.2527,537.36475
3186.0215,3186.1003,537.44965
3176.5273,3196.0176,537.6163
3174.7744,3199.0798,537.84296
3172.792,3207.54,538.0692
3182.1973,3215.6748,538.28357
3193.1187,3210.1587,538.4518
3179.183,3202.568,538.5841
3173.4197,3195.7983,538.8175
3183.2544,3194.181,539.0565
3191.0652,3198.492,539.2363
3203.66,3202.2222,539.37213
3219.645,3212.8398,539.5067
3215.3254,3213.4097,539.64435
3207.936,3202.9885,539.7812
3218.232,3199.3389,539.8766
3229.7632,3197.193,539.874
3238.305,3196.9,539.7433
3228.131,3190.1067,539.6541
3209.998,3187.767,539.67926
3214.8394,3197.615,539.775
3227.0159,3199.9312,539.8028
3237.4592,3206.0503,539.7499
3247.36,3213.1526,539.6765
3235.7139,3221.0608,539.599
3213.4038,3220.4763,539.574
3217.8477,3220.0786,539.60004
3229.604,3223.8567,539.4566
3218.5947,3237.2456,539.155
3214.6997,3245.9424,538.9569
3199.7896,3240.778,538.822
3169.4775,3231.132,538.84155
3173.1135,3223.5383,538.9457
3195.3293,3223.3408,538.97186
3212.577,3223.6477,538.8488
3227.1892,3229.3691,538.71985
3226.765,3207.1802,538.6084
3211.1443,3189.6155,538.546
3211.648,3191.6294,538.51935
3220.1765,3193.23,538.4284
3217.242,3204.2595,538.33453
3221.9028,3212.5051,538.2972
3229.4336,3224.5312,538.28094
3219.8403,3224.4219,538.2032
3221.0242,3209.8003,538.1445
3230.2625,3203.152,538.0523
3214.41,3203.6287,537.9163
3206.0696,3207.4434,537.90643
3207.9993,3199.8816,537.9303
3200.9539,3191.5325,537.8773
3215.2485,3191.0623,537.7985
3231.0496,3192.067,537.70105
3209.4744,3178.678,537.6166
3165.418,3171.312,537.6106
3158.2993,3176.0146,537.7016
