gamma_result,ref,LP
2419.210093260648,2433.4866,530.44214
2438.3450253409055,2435.8108,530.7998
2438.974642686897,2431.1194,530.549
2447.3090022686947,2433.2808,530.4078
2439.1562522276317,2434.9895,530.07745
2422.075908378475,2436.037,530.0216
2424.03321732082,2444.567,530.6531
2437.758442845485,2444.0725,531.1449
2447.336717429962,2433.8667,530.9778
2450.0983183537655,2431.207,530.5371
2432.440878655406,2429.7622,530.0132
2412.3259119578183,2427.743,529.9359
2415.940803742569,2436.2783,530.6124
2425.7071736076623,2442.0398,531.26886
2434.153665908491,2442.3425,531.6566
2433.519292662457,2441.7864,531.82086
2418.245258067387,2441.0315,532.0074
2420.825557962935,2434.7083,532.4438
2456.4402416396547,2432.3738,532.7187
2470.8091979238375,2438.541,532.1877
2464.916245909397,2438.169,531.3284
2456.5975453445803,2438.4084,530.6803
2451.037061268603,2445.272,530.4368
2448.812383239731,2440.524,530.17285
2444.7877327700744,2438.8105,529.9204
2447.56771226862,2447.2825,530.0143
2448.122332533594,2442.3296,529.85767
2445.168878012293,2442.0942,529.7006
2430.996849261699,2445.694,529.7281
2423.373898938323,2448.5676,530.2119
2447.324157804632,2464.7908,531.3125
2463.9359539684383,2483.888,532.2122
2476.6811025959205,2501.7727,533.16235
2496.615828328884,2497.5261,533.63696
2510.7946349271583,2497.6768,533.6092
2506.8246147990676,2485.988,532.9167
2508.934341985738,2484.268,532.3588
2504.7213417590633,2488.0984,531.84174
2492.5671884406224,2481.3552,531.2486
2485.41097322582,2477.4268,530.89087
2469.7820251628073,2467.1443,530.42236
2460.867668508323,2460.5474,530.21356
2463.548661467335,2461.5203,530.2544
2469.2403207044845,2461.9758,530.20544
2480.8358992467006,2465.6487,530.10645
2479.7676016763053,2467.4495,529.7402
2462.5655611664915,2470.344,529.5114
2458.6356924705788,2470.7837,529.7625
2473.1779061060224,2481.614,530.3753
2474.534785309579,2498.6453,531.01666
2473.4220489482946,2511.1182,531.96155
2480.040882966248,2521.698,533.2021
2480.3655438511537,2525.474,534.3322
2488.7811888539923,2520.9783,535.3377
2517.1919064337835,2511.344,535.85547
2533.6089203523857,2511.9363,535.6501
2507.2336373679746,2508.083,534.9583
2500.396993888202,2511.2954,535.1468
2518.8560647149516,2519.028,535.6579
2518.2984381089827,2511.485,535.40436
2517.7494097045746,2490.6396,534.65875
2497.7555263984555,2467.8242,533.3491
2449.5289147800813,2438.0698,531.8286
2413.6886491880523,2438.0085,531.675
2404.764736852772,2458.1045,532.94324
2446.1351138985865,2476.8262,534.8255
2506.896621700668,2496.1704,536.019
2523.3432483274864,2507.654,535.90375
2505.8650489705074,2513.372,535.62854
2498.1181150898774,2519.1787,536.03174
2524.0895828892017,2538.3977,537.1209
2545.443200350588,2547.3323,537.661
2566.128284545932,2545.7517,537.61115
2574.352920329663,2543.2874,536.98114
2547.3457943312387,2538.6372,536.05695
2528.0127733879826,2531.4243,535.71906
2535.555686548315,2535.8372,535.9862
2550.5505946407297,2538.8813,536.06146
2559.0149668367003,2532.3958,535.5512
2557.3525874066054,2527.824,534.73773
2538.399000240329,2522.9695,533.871
2520.0512316070226,2519.3726,533.4397
2523.007906353625,2523.3901,533.58746
2521.9299144381503,2527.0544,533.692
2526.6540718954147,2523.6492,533.7299
2540.6926353107306,2517.2695,533.46515
2537.069576626905,2510.8906,532.66266
2519.354201387572,2503.4734,531.811
2503.2091154936506,2503.3464,531.4586
2499.9328584752993,2505.9004,531.57697
2511.8119781612545,2500.0918,531.5722
2516.2750583288534,2497.7554,531.17865
2505.5302649735777,2493.9238,530.5936
2495.0268235049234,2494.1465,530.3367
2486.0004800302386,2498.4724,530.4614
2481.191515129465,2500.0688,530.8404
2474.486153606653,2496.23,531.217
2471.9085882036443,2487.5552,531.5365
2465.230893204841,2478.8765,531.6921
2464.2747633771933,2472.7153,531.8795
2464.872566320578,2468.658,531.9794
2459.12098943017,2474.6772,532.23914
2465.523816565265,2470.0127,532.5142
2473.9107580012787,2466.7854,532.51843
2467.8698873849307,2459.2375,532.106
2464.082106133153,2449.1301,531.6247
2462.1762666466843,2448.163,531.2327
2453.1837758520587,2450.194,530.9419
2459.8726096042683,2447.7988,530.8233
2468.736038921551,2450.5376,530.57587
2462.442233781924,2446.6248,529.9834
2458.9651299724283,2446.893,529.6089
2456.1756842127115,2452.5151,529.4688
2447.386270439197,2452.8093,529.38873
2448.179046553911,2453.1267,529.5535
2455.5089354103475,2453.2043,529.6729
2456.9163409338003,2450.109,529.50415
2460.341911622987,2447.0007,529.2388
2457.7241982766773,2446.7307,528.8829
2446.1140198172807,2448.8777,528.66956
2446.2758362958807,2444.6953,528.6494
2453.3041689468673,2442.05,528.5301
2454.032813096411,2439.1985,528.1434
2456.9803459034447,2436.6008,527.69135
2455.06137631375,2438.2983,527.21326
2447.2983740007376,2447.53,527.0486
2449.289894890823,2450.1628,527.1418
2453.245172590837,2449.1943,527.12335
2454.4298464063304,2449.521,527.0122
2452.7130744706587,2445.3372,526.7616
2444.6625025611975,2445.1096,526.56726
2440.661180066476,2454.2134,526.84625
2447.102721396156,2458.7495,527.31506
2452.769946995114,2459.5513,527.6034
2451.573328500185,2459.389,527.74567
2455.439447225167,2451.6484,527.72235
2453.2473003007008,2450.5798,527.58
2444.3476223292664,2456.738,527.68396
2450.2970756027457,2458.0244,528.0482
2457.133833235376,2458.5713,528.2338
2454.84484619015,2451.7256,528.05383
2447.4695044547943,2444.3135,527.76953
2442.402728800931,2447.4556,527.7922
2440.3045277930046,2454.4321,528.12067
2441.727247759421,2461.108,528.66003
2449.0260678532004,2462.466,529.17365
2448.633518515444,2456.0535,529.3063
2452.2332496905137,2449.231,529.29865
2456.2773136627548,2445.6555,529.1093
2450.456639071675,2452.725,529.02423
2455.540585346505,2458.9827,529.2669
2462.98773411772,2459.3608,529.3448
2454.061788191511,2456.3013,529.14343
2447.895862951186,2448.902,529.014
2442.406405956982,2443.6565,528.90564
2434.510694968434,2447.7585,529.0617
2441.0851342666083,2451.9954,529.5289
2452.4004791638663,2451.7522,529.7726
2447.3966837491334,2451.3108,529.70844
2442.635028060003,2446.1821,529.6739
2450.755522115825,2444.8691,529.7357
2453.449490988018,2447.7,529.64056
2454.932577493494,2451.0786,529.5793
2467.4584441204406,2451.605,529.4894
2475.2028285607503,2449.0454,528.9819
2462.8027718116737,2446.2166,528.2217
2449.4341042431943,2443.945,527.77234
2441.857260353835,2444.9827,527.69507
2445.0058222990415,2448.1123,527.87524
2462.208565487912,2448.072,527.9367
2466.884435884516,2447.112,527.50134
2452.426101247598,2453.7363,527.1709
2441.7710724221197,2460.7288,527.43195
2440.986549698465,2470.0417,528.189
2445.134555701745,2480.5378,529.2051
2460.919035654889,2477.4917,529.99036
2474.090255016704,2477.808,530.3662
2465.54901405753,2473.2024,530.29114
2456.654211581107,2478.7227,530.6577
2463.6450951531942,2483.129,531.35565
2476.56879904463,2478.8281,531.7026
2482.086715486351,2474.777,531.609
2479.2266388999583,2459.9517,530.99664
2468.0113390202523,2454.4797,530.36804
2457.490521909062,2456.602,530.1174
2464.5760910246945,2462.3857,530.28284
2482.287559939743,2465.7495,530.2989
2487.157007605271,2462.9382,529.7539
2477.685406370163,2454.3484,528.8912
2463.5945478374024,2452.0742,528.2656
2453.216413885919,2463.1523,528.3199
2459.8894054005923,2470.495,528.7968
2473.218572678085,2477.73,529.2401
2476.66429681065,2474.7634,529.2286
2468.557281808533,2461.0234,528.7843
2456.3625871437025,2457.3481,528.51135
2451.635282656969,2463.847,528.74615
2462.064164509642,2473.5374,529.33014
2480.571607152578,2481.9707,529.8187
2482.8120780859836,2483.1033,529.8297
2463.590060662709,2480.1965,529.74634
2451.0235795535145,2475.8716,530.0923
2459.488182279568,2479.3235,530.8429
2468.960278354344,2478.7053,531.2964
2476.2511519517243,2473.395,531.36444
2481.0762466577517,2470.2317,531.1831
2461.7128571365474,2472.9424,530.9721
2449.0731553436026,2479.2498,531.48175
2473.868639919815,2482.8848,532.37305
2494.2631449072396,2490.6274,532.7447
2471.635473055874,2487.2588,532.5031
2470.312085777818,2481.7825,532.80597
2499.2017705439116,2481.5554,533.0914
2494.8593998424544,2472.0361,532.3043
2467.0419818304936,2452.9802,531.21466
2437.973307100333,2440.556,530.59375
2400.118017537009,2402.7388,529.6848
2380.854957932481,2403.6409,529.8788
2397.1328856847804,2428.9016,531.2038
2451.9828404382843,2453.7227,532.64307
2506.010912095474,2501.7893,533.87134
2514.127254610489,2520.495,534.13666
2507.548415327594,2526.7993,534.45154
2510.0465375193435,2534.993,535.1834
2536.577901217326,2549.721,536.2153
2545.72461440851,2555.1492,536.62634
2559.226636917785,2559.6245,536.9674
2562.8471247206553,2556.5745,536.8611
2550.2783675052115,2552.097,536.57574
2553.4093763026735,2543.0269,536.4103
2559.5313335448873,2540.1592,536.0676
2557.9446527074333,2533.8938,535.39636
2561.349494179613,2524.1929,534.5331
2561.9611236547407,2516.0525,533.36993
2544.3140968262105,2503.434,531.8692
2528.397373041612,2494.6333,530.65
2500.4028605209164,2491.5972,529.76294
2484.671950170278,2489.6775,529.5645
2494.758702453045,2479.4111,529.44446
2493.8375087648574,2476.5493,528.9482
2460.7327697284377,2466.7427,528.24023
2452.0316227335466,2463.5476,528.3894
2457.098020350039,2473.438,528.9722
2458.3157489991127,2474.3237,529.387
2476.0476215609497,2469.8455,529.6556
2480.3418182993673,2475.2642,529.5976
2450.9510026771577,2465.7202,529.1889
2431.123337485169,2463.448,529.574
2433.241088909893,2473.2988,530.7097
2445.10714841338,2466.2375,531.5077
2465.709888578952,2463.6814,531.93097
2462.3825535109154,2465.2961,531.8667
2456.0122392869716,2454.4255,531.6458
2464.4995425315765,2453.92,531.60925
2461.1190638244725,2458.9792,531.4606
2459.974023507154,2453.5076,531.2631
2471.3179463056103,2450.143,531.00946
2461.8302850065866,2454.0547,530.5547
2447.4885586494875,2450.1138,530.2748
2453.040127982462,2451.8296,530.426
2451.2969571891717,2453.757,530.4313
2449.915047976463,2444.438,530.2358
2457.8884946923436,2433.7366,529.80176
2453.0585876645864,2429.6162,529.0566
2422.4320266765667,2424.1528,528.32684
2407.879213867835,2422.1711,528.3957
2428.4647469092756,2424.8284,528.86316
2441.4141890340425,2428.816,528.8205
2447.0729984374393,2426.061,528.38715
2444.5534820077764,2426.2517,527.8452
2411.8809098298307,2416.5483,527.11786
2394.5451082030613,2405.1296,527.0017
2411.6560017569586,2407.9897,527.38794
2425.316408640592,2413.939,527.4069
2434.4735177623343,2414.6492,527.09674
2437.415860304495,2417.939,526.65924
2413.142590782164,2408.303,525.8873
2394.135056058063,2405.0518,525.73535
2405.8426289269573,2414.1875,526.3077
2415.7694205294465,2428.3574,526.87006
2420.9784165351,2443.5793,527.5737
2427.4655604585605,2443.4238,528.1141
2411.9178678892176,2440.8723,528.4186
2396.1693434210765,2426.203,528.7735
2394.0294624583066,2420.477,529.4056
2397.952587786279,2416.1165,529.9485
2416.2978589201166,2407.7334,530.15564
2428.2485632735934,2413.7373,530.0541
2415.307482468762,2412.5461,529.62115
2407.243661518947,2414.0767,529.6278
2410.163918209514,2423.0903,530.0693
2418.0045870371273,2419.7898,530.2899
2432.999067734686,2411.8315,530.0884
2428.7039336526377,2410.8562,529.4863
2414.6749345992803,2400.028,528.7465
2419.5841958010424,2394.7388,528.2675
2422.0039433126412,2402.9175,527.85425
2420.1543185378514,2418.4866,527.7974
2432.1319628294777,2433.1123,528.16235
2438.044372475749,2445.1284,528.48236
2418.4854498569894,2446.5874,528.6787
2406.1567943197597,2430.1077,528.97363
2411.7745001500316,2427.6633,529.53564
2424.44034745725,2434.079,530.0928
2442.551810956139,2437.3604,530.3871
2450.062708867875,2445.6257,530.434
2454.3172930111223,2448.4937,530.3795
2445.8672687813164,2434.6123,529.8329
2443.226456242196,2430.8425,529.467
2441.095685013269,2438.682,529.3793
2435.6840337672998,2438.0503,529.30365
2428.4983600969476,2438.6824,529.392
2405.535602179472,2441.9456,529.7545
2416.300609648652,2428.8845,530.36383
2456.606807348123,2422.9614,530.48126
2464.0278298036737,2422.7078,529.5163
2454.378612189469,2411.003,528.13165
2448.0432558311704,2407.765,526.97754
2437.573190696385,2408.148,525.99084
2429.074185938238,2408.9565,525.298
2425.966639514605,2416.4043,525.0165
2421.5876541945645,2432.3755,525.221
2421.303949299615,2437.3142,525.63153
2426.7830772685375,2447.0508,526.2954
2410.24250164726,2456.747,527.04944
2412.9181125532286,2456.2456,528.2394
2448.7745021894943,2461.718,529.4637
2459.5072859625925,2457.5132,529.56604
2464.113819168225,2446.1157,529.16516
2467.548511385843,2434.1428,528.3644
2460.393726977679,2425.7012,527.27844
2448.963410480069,2432.518,526.61365
2448.132346725186,2445.964,526.6014
2443.940431328132,2466.1663,527.10474
2426.272253204217,2479.3938,528.03467
2423.127001803613,2481.9294,529.4795
2419.312975352544,2487.4907,531.1119
2426.930891142344,2478.1194,532.56726
2459.8183948296364,2479.2664,533.86017
2468.442913198962,2477.6821,534.213
2480.022008741723,2466.7126,534.11786
2488.1198125310793,2466.2544,533.74255
2475.3784137220678,2458.704,532.96484
2476.0756307416204,2456.4058,532.52106
2492.4968799816593,2460.9495,532.1543
2487.195238053613,2462.425,531.3599
2479.6529389722564,2462.4336,530.75446
2474.2340534504015,2462.378,530.3417
2448.3338720553547,2467.6868,530.206
2450.977614478026,2471.3787,530.8641
2470.216465841806,2488.0217,531.8295
2471.7073934539385,2504.1611,532.67053
2483.288715151287,2513.319,533.735
2504.0351479838564,2515.2676,534.51105
2499.7378508063566,2516.5657,534.7737
2490.6080609564888,2512.8176,535.1069
2514.4957771299705,2515.7683,535.77545
2529.3581558952183,2522.4607,535.93195
2537.029926840104,2521.8616,535.70654
2543.4515442520287,2521.45,535.29926
2525.348718205493,2520.7622,534.7162
2512.4509314276274,2518.0476,534.58093
2528.9500237956863,2517.2517,534.73914
2547.4237729857914,2512.351,534.2674
2520.7076621675988,2509.9333,533.27344
2493.8172333236075,2504.434,532.928
2493.0123282483883,2497.6194,533.0813
2484.0313386483786,2492.492,533.0578
2465.8600068558144,2464.1963,532.50854
2450.904645744271,2441.1028,531.87585
2410.7161346938774,2207.894,525.1773
2360.400368326783,1858.8933,510.48376
1867.9368550512809,1476.8383,487.4008
903.5841010721491,1275.1682,473.32022
400.0,1360.8392,487.64514
792.7710929519549,1653.039,521.193
1523.131569474506,2009.9562,551.54504
2046.4922056073049,2277.4744,569.15
2376.4374593197363,2491.0906,579.45844
2665.2286782271976,2667.1375,586.3687
2920.526898851448,2825.2231,590.0824
3083.3224756263526,2917.8408,589.6389
3158.698715531011,2981.9766,586.90564
3220.1917675743366,3019.302,583.3869
3293.0183201916043,3057.5054,579.3217
3325.8048254614705,3082.6768,573.9891
3336.4732402722675,3106.077,568.5217
3302.105203333067,3111.557,562.9285
3238.981495430688,3117.0776,558.45294
3234.50838644246,3130.8113,555.9991
3269.545690127808,3145.658,553.86304
3293.2055987959766,3158.475,551.0505
3303.51612450638,3169.8672,547.9549
3278.5247405736172,3170.073,544.60803
3226.4080718630858,3169.8567,541.975
