x,y,z
18.5,4.5,-3.333333
18.5,-4.0,-3.333333
18.5,-15.0,-3.333333
18.5,-4.5,-3.333333
18.5,-5.5,-3.333333
18.5,-14.0,-3.333333
18.5,-13.5,-3.333333
18.5,-13.0,-3.333333
18.5,-12.5,-3.333333
18.5,-12.0,-3.333333
18.5,-11.5,-3.333333
18.5,-11.0,-3.333333
18.5,-10.5,-3.333333
18.5,-10.0,-3.333333
18.5,-9.5,-3.333333
18.5,-9.0,-3.333333
18.5,-8.5,-3.333333
18.5,-8.0,-3.333333
18.5,-7.5,-3.333333
18.5,-7.0,-3.333333
18.5,-6.5,-3.333333
18.5,-6.0,-3.333333
18.5,-5.0,-3.333333
-10.5,18.5,-3.333333
-6.25,25.0,-6.666667
-7.5,25.0,-6.666667
25.0,1.25,-3.333333
25.0,0.625,-3.333333
25.0,0.0,-3.333333
25.0,-0.625,-3.333333
25.0,-1.25,-3.333333
25.0,-1.875,-3.333333
25.0,-2.5,-3.333333
25.0,-3.125,-3.333333
25.0,-3.75,-3.333333
25.0,-4.375,-3.333333
25.0,-5.0,-3.333333
25.0,-5.625,-3.333333
25.0,-6.25,-3.333333
25.0,-6.875,-3.333333
25.0,-7.5,-3.333333
25.0,-8.125,-3.333333
25.0,-8.75,-3.333333
25.0,1.875,-3.333333
25.0,-9.375,-3.333333
25.0,2.5,-3.333333
25.0,3.75,-3.333333
25.0,14.375,-3.333333
25.0,13.75,-3.333333
25.0,13.125,-3.333333
25.0,12.5,-3.333333
25.0,11.875,-3.333333
25.0,11.25,-3.333333
25.0,10.625,-3.333333
25.0,10.0,-3.333333
25.0,9.375,-3.333333
25.0,8.75,-3.333333
25.0,8.125,-3.333333
25.0,7.5,-3.333333
25.0,6.875,-3.333333
25.0,6.25,-3.333333
25.0,5.625,-3.333333
25.0,5.0,-3.333333
25.0,4.375,-3.333333
25.0,3.125,-3.333333
25.0,15.0,-3.333333
25.0,-10.0,-3.333333
25.0,-11.25,-3.333333
25.0,24.375,-6.666667
25.0,23.75,-6.666667
25.0,23.125,-6.666667
25.0,22.5,-6.666667
25.0,21.875,-6.666667
25.0,21.25,-6.666667
25.0,20.625,-6.666667
25.0,20.0,-6.666667
25.0,19.375,-6.666667
25.0,18.75,-6.666667
25.0,18.125,-6.666667
25.0,17.5,-6.666667
25.0,16.875,-6.666667
25.0,16.25,-6.666667
25.0,15.625,-6.666667
25.0,15.0,-6.666667
